time,food,quantity,calories,protein,fibre,carbs,fat,date,weekday,source_sheet
08:30:00,2x egg,,240,12.0,,,,2024-10-16,Wednesday,14Oct24
,Porridge,,640,26.8,,,,2024-10-16,Wednesday,14Oct24
11:58:00,Snacks,,500,5.0,,,,2024-10-16,Wednesday,14Oct24
15:00:00,chicken,,700,50.0,,,,2024-10-16,Wednesday,14Oct24
,Cheese,,200,10.0,,,,2024-10-16,Wednesday,14Oct24
,1x banana,,100,1.0,,,,2024-10-16,Wednesday,14Oct24
19:20:00,prot. drink,,171,20.1,,,,2024-10-16,Wednesday,14Oct24
,isotonic drink,,128,0.0,,,,2024-10-16,Wednesday,14Oct24
21:53:00,snack,,143,,,,,2024-10-16,Wednesday,14Oct24
,cheese,,130,7.2,,,,2024-10-16,Wednesday,14Oct24
,bread,,180,6.8,,,,2024-10-16,Wednesday,14Oct24
08:20:00,Milk 500ml,,217,17.0,,,,2024-10-17,Thursday,14Oct24
09:08:00,wrap,,559,31.0,,,,2024-10-17,Thursday,14Oct24
09:30:00,Lucozade energy,,83,,,,,2024-10-17,Thursday,14Oct24
,Protein Drink,,285,33.0,,,,2024-10-17,Thursday,14Oct24
08:00:00,protein yoghurt,,84,15.0,,,,2024-11-04,Monday,4Nov24
09:00:00,milk pint,,320,16.0,,,,2024-11-04,Monday,4Nov24
,sandwich,,700,50.0,,,,2024-11-04,Monday,4Nov24
14:00:00,curry,,900,40.0,,,,2024-11-04,Monday,4Nov24
17:20:00,mullermich,,244,12.16,,,,2024-11-04,Monday,4Nov24
20:00:00,omelette ,,600,25.0,,,,2024-11-04,Monday,4Nov24
08:20:00,porridge,,750,29.65,,,,2024-11-07,Thursday,4Nov24
12:30:00,half cajun chicken mayo sandwich,,700,25.0,,,,2024-11-07,Thursday,4Nov24
15:30:00,rice,,300,6.0,,,,2024-11-07,Thursday,4Nov24
,chicken,,500,90.0,,,,2024-11-07,Thursday,4Nov24
,sauce,,200,0.0,,,,2024-11-07,Thursday,4Nov24
